	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
Cul2	1055.00	753.29	3379.20	2353.60	845.69	826.89	915.94	504.92
Cul3	384.25	2348.67	1876.14	2018.91	1513.45	1167.84	1387.91	547.91
Cul4a	0.65	179.06	2.68	157.36	491.45	248.29	441.97	286.95
Cul4b	298.96	2620.07	107.15	2515.07	4674.29	5441.28	5914.60	4816.20
Cul5	4475.85	8432.56	6407.72	11403.93	1264.54	1210.84	1575.90	1031.83
Cul9	2.28	26.84	2.09	11.89	7.28	19.39	8.88	3.65
Cuta	201.23	1383.64	797.80	1670.51	432.84	499.93	511.97	446.93
Cux1	221.95	14.86	27.97	92.95	1461.20	798.05	912.87	501.53
Cux2	642.01	2034.47	1592.67	637.09	3295.79	3121.58	2372.84	1132.81
Cwc15	922.77	2478.44	2396.33	1749.78	3994.54	3597.52	3122.80	2359.60
Cwc22	66.08	1874.93	453.69	634.85	925.43	1169.69	986.81	746.61
Cwc25	102.23	232.21	38.55	311.31	4195.07	2794.17	1861.35	2399.29
Cwc27	483.34	342.49	920.41	67.53	118.63	496.90	198.99	75.47
Cwf19l1	149.48	9.76	241.58	758.44	223.92	337.95	374.98	50.99
Cwf19l2	57.76	479.54	37.81	46.00	1569.34	1910.53	1345.73	916.46
Cxadr	50.79	7.81	511.41	380.69	79.97	22.64	18.00	85.99
Cxcr2	19.09	147.38	282.78	112.45	236.24	132.30	45.23	55.03
Cxx1a	5.38	24.60	20.24	23.19	402.23	330.16	303.74	174.18
Cxx1b	2.10	32.00	8.78	48.05	511.43	344.75	392.90	199.76
Cxxc1	214.76	72.21	1118.28	145.89	1868.32	3994.47	2293.85	1504.75
Cyb561a3	0.33	423.48	0.97	241.72	29.99	79.99	66.00	12.00
Cyb561d2	171.52	24.33	460.26	265.21	383.86	554.93	778.95	380.94
Cyb5a	0.96	1025.53	746.01	769.20	1264.54	2294.70	1721.89	1525.75
Cyb5b	0.96	127.35	502.64	448.21	6289.71	5811.22	4287.72	2991.50
Cyb5d1	43.12	0.89	1.46	183.00	24.99	94.99	99.00	29.00
Cyb5d2	36.25	60.53	44.31	65.30	308.31	452.63	240.14	346.81
Cyb5r3	0.96	26.35	172.02	0.98	1157.58	1540.79	779.84	640.89
