ProbeSet	log2(FC)	p-value
201566_x_at	  0.1508	2.10e-02
201567_s_at	  0.6847	6.73e-02
201568_at	 -0.2220	5.43e-02
201569_s_at	  0.7864	8.54e-02
201573_s_at	 -0.1545	6.23e-01
201575_at	  0.1855	2.59e-01
201576_s_at	  1.7057	1.78e-03
201578_at	  0.4607	9.83e-02
201581_at	 -0.1334	3.00e-01
201583_s_at	 -0.4852	2.08e-03
201584_s_at	 -0.8785	5.77e-02
201585_s_at	 -0.4842	2.32e-03
201586_s_at	 -0.7090	9.48e-02
201587_s_at	 -0.4041	1.49e-01
201588_at	  0.2542	9.99e-02
201590_x_at	  0.7690	4.26e-05
201592_at	  0.1842	8.14e-02
201593_s_at	 -0.1245	4.45e-01
201595_s_at	 -0.4674	1.62e-01
201596_x_at	 -1.0764	9.25e-03
201602_s_at	  0.5018	8.48e-02
201607_at	 -0.0599	6.08e-01
201608_s_at	 -0.4404	3.13e-02
201612_at	 -0.2472	2.23e-01
201615_x_at	  0.3100	1.55e-02
201617_x_at	  0.0245	8.25e-01
201618_x_at	  0.1330	3.49e-01
201620_at	 -0.3747	3.31e-02
201623_s_at	 -0.4610	2.85e-02
201625_s_at	 -1.1764	1.30e-02
201628_s_at	 -0.5344	4.37e-02
201629_s_at	  0.0810	6.56e-01
201632_at	 -0.5407	4.58e-02
201634_s_at	 -0.8251	5.33e-03
201637_s_at	  0.4570	1.48e-01
201642_at	 -0.2600	2.63e-02
201644_at	 -0.4754	2.32e-02
201647_s_at	  0.0930	5.82e-01
201649_at	  0.5266	2.92e-02
201650_at	  0.1673	2.70e-01
201651_s_at	  0.5539	5.77e-02
201654_s_at	  0.1285	4.30e-01
201658_at	  0.0955	3.81e-01
201659_s_at	 -0.3497	6.11e-02
201661_s_at	 -1.1168	3.43e-02
201662_s_at	 -0.7273	4.89e-02
201664_at	  0.1502	6.20e-01
201668_x_at	 -0.1120	2.08e-01
201670_s_at	 -0.2207	2.53e-02
201671_x_at	  0.0584	7.73e-01
201672_s_at	 -0.1852	1.52e-01
201673_s_at	 -0.2104	5.24e-02
201679_at	  0.1237	4.85e-01
201680_x_at	 -0.1036	1.30e-01
201681_s_at	  0.7479	7.75e-02
201683_x_at	  0.3896	1.18e-02
201685_s_at	  0.9906	6.55e-02
201686_x_at	  0.0213	7.95e-01
201688_s_at	 -0.0086	9.28e-01
201689_s_at	  0.1263	1.95e-01
201692_at	 -0.4054	4.71e-03
201693_s_at	 -0.8365	1.06e-02
201697_s_at	 -0.2584	2.25e-01
201699_at	 -0.0148	9.47e-01
201700_at	  1.2667	3.45e-03
201702_s_at	  0.1815	1.36e-01
201703_s_at	  0.0195	8.67e-01
201705_at	 -0.4519	4.86e-02
201706_s_at	  0.0680	2.88e-01
201708_s_at	  0.1136	1.39e-01
201709_s_at	  0.3164	4.47e-03
201710_at	  0.3362	6.27e-03
201712_s_at	 -0.0143	8.94e-01
201713_s_at	 -0.4265	2.67e-01
201714_at	 -0.3381	1.29e-01
201721_s_at	 -0.8668	5.77e-04
201723_s_at	 -0.0739	9.89e-02
201724_s_at	 -0.5814	3.08e-02
201728_s_at	  0.0421	7.38e-01
201730_s_at	 -0.1317	3.90e-01
201732_s_at	  0.8266	1.26e-02
201734_at	  1.1974	4.56e-03
201735_s_at	  1.1736	2.59e-02
201737_s_at	  0.0884	7.97e-01
201738_at	 -0.0971	7.44e-01
201740_at	  0.2628	1.01e-01
201743_at	  0.0240	8.46e-01
201744_s_at	  0.0070	7.89e-01
201746_at	  0.2607	1.38e-01
201747_s_at	 -0.3848	2.73e-01
201751_at	  0.1449	2.99e-01
201754_at	  0.1118	4.48e-01
201755_at	  0.0693	1.93e-01
201756_at	  0.0896	5.39e-01
201757_at	 -0.4399	2.54e-02
201759_at	  0.5353	7.91e-02
201762_s_at	 -0.5858	1.01e-02
201764_at	  0.1887	3.50e-02
201766_at	  0.0863	3.07e-01
201768_s_at	 -0.1381	5.79e-02
201769_at	 -0.3126	8.07e-02
201775_s_at	  0.0172	8.66e-01
201777_s_at	  0.1508	2.11e-01
201782_s_at	 -0.1727	3.76e-02
201786_s_at	  0.1462	3.04e-01
201789_at	  0.2876	1.48e-01
201790_s_at	 -1.0761	1.11e-02
201793_x_at	  0.1397	3.07e-01
201794_s_at	  0.2555	1.92e-01
201798_s_at	  0.1877	2.63e-01
201800_s_at	 -0.2172	9.50e-02
201801_s_at	  1.8079	3.35e-03
201804_x_at	 -0.1437	2.22e-02
201805_at	  0.1740	1.02e-01
201809_s_at	  0.7645	3.16e-03
201813_s_at	  0.8147	2.24e-03
201814_at	  0.8747	3.20e-03
201815_s_at	  0.2183	1.12e-01
201817_at	  0.0786	6.28e-01
201818_at	 -0.2148	6.43e-02
201820_at	  0.2011	2.00e-01
201822_at	  0.0713	1.93e-01
201823_s_at	  0.5642	9.56e-02
201824_at	  0.7290	1.01e-01
201825_s_at	 -0.3222	8.88e-02
201826_s_at	  0.0856	5.17e-01
201828_x_at	  0.4953	1.61e-03
201829_at	 -0.6815	1.39e-02
201830_s_at	 -0.8266	3.61e-02
201831_s_at	  0.1609	3.28e-01
201832_s_at	 -0.1059	4.09e-01
201833_at	 -0.1526	4.52e-01
201835_s_at	  0.6644	1.03e-02
201837_s_at	  0.5517	9.81e-02
201840_at	  0.1357	3.93e-01
201841_s_at	  0.1108	4.16e-01
201844_s_at	 -0.4990	4.27e-02
201847_at	  0.2008	3.27e-01
201852_x_at	  0.2491	1.76e-01
201853_s_at	 -0.4491	1.98e-04
201855_s_at	  0.0599	3.09e-01
201856_s_at	 -0.1076	4.88e-01
201858_s_at	 -1.3748	3.01e-03
201859_at	 -1.3501	2.63e-02
201860_s_at	  0.0264	7.46e-01
201861_s_at	 -0.0558	4.28e-01
201862_s_at	 -0.2412	6.90e-02
201863_at	 -0.3317	2.16e-02
201866_s_at	  0.0022	9.71e-01
201870_at	 -0.3262	1.21e-03
201871_s_at	  0.0949	3.60e-01
201873_s_at	 -1.0995	4.68e-03
201875_s_at	 -0.4237	5.69e-02
201877_s_at	  0.9430	5.25e-02
201881_s_at	 -0.2278	3.52e-03
201882_x_at	  0.1283	2.70e-02
201883_s_at	  0.1788	1.81e-01
201886_at	  0.2276	9.69e-02
201890_at	 -0.5424	2.08e-01
201891_s_at	 -0.1300	3.34e-01
201892_s_at	  0.0372	7.87e-01
201893_x_at	  0.1916	1.99e-01
201897_s_at	 -0.6638	2.21e-03
201898_s_at	 -0.0054	9.82e-01
201899_s_at	 -0.1495	3.60e-01
201900_s_at	  0.0266	7.83e-01
201901_s_at	 -0.1155	6.53e-01
201902_s_at	  0.0948	2.92e-01
201904_s_at	 -0.0723	2.22e-01
201905_s_at	 -0.0398	5.26e-01
201909_at	  0.0370	8.30e-01
201913_s_at	 -0.4566	4.97e-02
