ProbeSet	log2(FC)	p-value
201917_s_at	 -0.1326	1.90e-01
201918_at	 -0.1265	3.73e-01
201919_at	  0.0750	5.27e-01
201920_at	 -1.0981	1.80e-02
201924_at	 -0.0868	5.76e-01
201925_s_at	 -0.5773	6.47e-02
201926_s_at	 -0.0830	2.44e-01
201928_at	  0.1768	4.05e-01
201930_at	 -0.0391	6.99e-01
201932_at	  0.3314	7.04e-03
201933_at	  0.1671	1.92e-02
201934_at	  0.0065	9.61e-01
201937_s_at	 -0.1449	1.42e-01
201938_at	 -0.6266	2.92e-03
201939_at	  0.0618	3.60e-01
201940_at	 -0.3188	1.52e-02
201941_at	 -0.1897	2.55e-01
201942_s_at	  0.0318	8.97e-01
201945_at	  0.7114	9.45e-04
201949_x_at	  0.0766	6.04e-01
201950_x_at	 -0.1257	2.87e-01
201951_at	  0.0960	2.66e-01
201953_at	 -0.9288	1.41e-02
201954_at	 -0.7283	6.52e-03
201957_at	  0.1140	2.70e-01
201962_s_at	  0.2164	1.43e-02
201963_at	  0.0202	7.66e-01
201964_at	 -0.3856	1.66e-02
201970_s_at	 -0.0811	3.37e-01
201971_s_at	  0.3449	1.11e-01
201973_s_at	 -0.0990	6.21e-01
201975_at	  0.0333	3.71e-01
201976_s_at	  0.0299	8.16e-01
201978_s_at	  0.2462	1.07e-01
201980_s_at	 -0.1217	4.08e-01
201981_at	  0.1235	4.70e-01
201983_s_at	  0.0099	9.30e-01
201984_s_at	  0.2198	2.11e-01
201985_at	  0.4158	1.06e-02
201986_at	  0.0932	3.54e-01
201987_at	  0.3282	2.38e-01
201988_s_at	  0.1895	2.47e-01
201989_s_at	  0.3188	3.40e-02
201991_s_at	 -0.4046	9.28e-02
201994_at	 -0.7123	1.20e-02
201995_at	 -0.1782	3.63e-01
201999_s_at	 -0.1718	3.09e-01
202001_s_at	 -0.0365	8.41e-01
202003_s_at	  0.0557	6.16e-01
202005_at	  0.1022	4.25e-01
202006_at	  0.0014	9.95e-01
202009_at	 -0.0723	3.92e-02
202011_at	 -0.0234	9.20e-01
202013_s_at	  0.0145	8.95e-01
202014_at	  0.5069	2.92e-03
202015_x_at	  0.0874	4.61e-01
202017_at	  0.3387	4.28e-03
202021_x_at	 -0.1415	4.77e-02
202022_at	 -0.3461	8.51e-02
202023_at	  0.5307	3.34e-03
202025_x_at	  0.1446	2.02e-02
202027_at	  0.0132	8.59e-01
202028_s_at	 -0.2802	8.53e-03
202029_x_at	 -0.0870	2.89e-02
202033_s_at	  0.0094	9.72e-01
202035_s_at	 -0.1302	4.19e-01
202039_at	  0.9161	1.57e-02
202042_at	 -0.4892	4.73e-02
202043_s_at	 -0.3054	2.26e-01
202044_at	  0.0243	8.45e-01
202045_s_at	  0.1232	7.54e-02
202046_s_at	 -0.1245	7.77e-02
202048_s_at	 -0.1493	7.10e-02
202050_s_at	  0.1765	3.37e-01
202052_s_at	 -0.7839	9.01e-03
202053_s_at	  0.8093	6.53e-02
202054_s_at	  0.4870	1.29e-01
202055_at	 -0.2992	7.25e-03
202058_s_at	 -0.3937	7.65e-02
202062_s_at	  0.0507	3.99e-01
202063_s_at	  0.5951	8.83e-02
202065_s_at	 -0.1601	2.79e-01
202067_s_at	 -0.9718	8.81e-03
202070_s_at	 -0.6052	6.36e-05
202071_at	  0.1947	5.29e-02
202072_at	 -0.2469	1.29e-01
202074_s_at	  1.5863	1.33e-03
202076_at	  0.6344	3.70e-02
202077_at	 -0.3516	1.36e-01
202078_at	 -0.3255	2.41e-01
202079_s_at	  0.1619	2.65e-01
202081_at	 -1.5581	7.60e-03
202084_s_at	  0.3891	2.85e-02
202085_at	  0.9408	4.67e-02
202086_at	  0.3040	9.05e-02
202087_s_at	  0.3243	1.82e-02
202088_at	 -0.0663	3.84e-01
202089_s_at	 -0.0071	9.36e-01
202091_at	  0.0187	7.40e-01
202092_s_at	  0.5403	9.85e-03
202093_s_at	  0.3301	2.64e-01
202095_s_at	 -0.5344	5.35e-02
202096_s_at	 -0.1716	1.47e-01
202098_s_at	  1.0278	3.41e-03
202100_at	 -0.2871	3.62e-02
202101_s_at	 -0.1138	2.02e-01
202102_s_at	 -0.1598	2.07e-01
202107_s_at	  0.4622	3.41e-02
202108_at	  0.5398	6.10e-03
202109_at	  0.3122	3.54e-02
202111_at	  0.1062	4.22e-01
202114_at	  0.8419	7.15e-02
202115_s_at	 -0.7823	2.49e-02
202117_at	 -0.0703	2.52e-01
202118_s_at	 -0.7628	8.16e-02
202120_x_at	  0.0926	1.22e-01
202122_s_at	 -0.3455	1.15e-01
202123_s_at	  0.3382	2.93e-02
202125_s_at	 -0.1579	3.06e-01
202127_at	 -0.0264	8.58e-01
202128_at	  0.4114	3.59e-02
202129_s_at	  0.4458	7.72e-02
202130_at	  0.7116	5.32e-02
202136_at	  0.3293	3.70e-02
202138_x_at	 -0.8559	2.98e-05
202139_at	  0.3794	2.43e-01
202140_s_at	  0.2006	3.95e-02
202142_at	 -0.1154	2.54e-01
202143_s_at	 -0.3467	1.67e-02
202144_s_at	  0.1865	3.98e-01
202145_at	 -1.1409	7.56e-05
202147_s_at	 -0.4033	1.02e-01
202148_s_at	 -0.4060	3.63e-02
202149_at	  0.1409	1.21e-01
202150_s_at	  0.2537	1.48e-01
202151_s_at	  0.8085	4.00e-02
202153_s_at	 -0.0764	5.00e-01
202155_s_at	  0.3919	6.90e-02
202156_s_at	 -0.4369	9.65e-02
202157_s_at	 -0.7103	5.48e-03
202158_s_at	 -0.2101	1.09e-01
202161_at	  0.2635	1.78e-01
202164_s_at	  0.2344	3.18e-01
202165_at	  0.3220	1.72e-01
202169_s_at	 -0.1991	5.65e-01
202171_at	  0.3740	1.43e-01
202173_s_at	  0.6430	1.57e-01
202175_at	  0.0828	2.61e-01
202176_at	 -0.1267	3.85e-01
202177_at	  0.3534	6.15e-03
202178_at	  0.7083	4.56e-02
202181_at	 -0.1975	4.48e-02
202182_at	 -0.0565	5.75e-01
202183_s_at	 -0.4657	1.07e-02
202184_s_at	  0.3935	1.47e-01
202188_at	 -0.5486	1.32e-02
202189_x_at	 -0.3593	1.85e-02
202190_at	 -0.1197	3.61e-01
202194_at	 -1.2168	1.22e-02
202195_s_at	 -0.7300	1.23e-02
202197_at	 -0.0275	8.26e-01
202199_s_at	 -0.3421	7.01e-02
202200_s_at	 -0.4490	8.69e-02
202201_at	  1.8091	1.32e-03
202202_s_at	  0.2875	6.73e-02
202203_s_at	 -0.5331	4.13e-02
202205_at	 -1.6950	6.90e-04
202209_at	 -0.1848	1.09e-01
202211_at	  0.1035	3.45e-01
202212_at	 -0.7004	1.32e-02
202217_at	  0.5580	4.14e-03
202219_at	  0.2210	2.04e-01
202220_at	  0.2020	3.14e-01
202223_at	 -0.2267	2.77e-01
202225_at	 -0.0031	9.87e-01
202227_s_at	  0.2544	2.49e-01
202235_at	 -0.2798	1.18e-01
202236_s_at	 -0.6537	7.40e-02
202237_at	 -0.0164	8.62e-01
202240_at	 -0.8872	1.49e-02
202241_at	 -0.4431	2.40e-02
202244_at	  0.1523	5.73e-01
202245_at	  0.1673	2.16e-01
202250_s_at	 -0.1729	1.19e-01
202253_s_at	  0.3990	4.09e-02
202256_at	  0.0647	4.39e-02
202257_s_at	 -0.0583	3.13e-01
202258_s_at	 -0.0147	9.33e-01
202259_s_at	  0.0282	7.12e-01
202260_s_at	  0.0021	9.89e-01
202261_at	  0.1140	2.75e-01
202262_x_at	  0.1025	1.85e-01
202264_s_at	 -0.5238	4.05e-02
202266_at	 -0.2284	4.77e-01
202268_s_at	 -0.4392	2.02e-01
202270_at	  0.1313	2.28e-01
202271_at	  0.6797	5.50e-02
202272_s_at	 -0.0202	8.01e-01
202273_at	  0.2244	1.90e-01
202275_at	 -0.1977	2.80e-01
202276_at	  0.1531	4.03e-01
202277_at	 -0.0845	8.14e-01
202278_s_at	 -0.1363	6.55e-02
202279_at	  0.1037	4.66e-01
202281_at	  0.0270	7.56e-01
202283_at	  2.5500	4.68e-03
202284_s_at	  0.1843	2.00e-01
202285_s_at	  0.0505	7.09e-01
202287_s_at	  0.0558	6.65e-01
202288_at	  0.1295	3.47e-01
202289_s_at	  0.0072	9.35e-01
202290_at	 -0.2352	3.82e-01
202291_s_at	  0.0398	6.39e-01
202292_x_at	 -0.1303	1.21e-01
202293_at	  0.3835	2.89e-02
202294_at	  0.2985	8.56e-02
202295_s_at	 -1.4158	2.78e-03
202296_s_at	 -0.1887	2.76e-01
202297_s_at	 -0.0803	5.50e-01
202298_at	  0.2855	1.26e-01
202299_s_at	  0.5270	2.54e-02
202300_at	  0.4859	3.17e-02
202302_s_at	  0.0402	7.96e-01
202303_x_at	  0.3182	1.99e-01
202305_s_at	  0.2728	8.45e-02
202308_at	  0.6036	8.23e-03
202312_s_at	  0.0671	2.60e-01
202315_s_at	  0.1954	4.21e-01
202317_s_at	  0.4321	2.11e-02
202318_s_at	 -0.1016	5.30e-01
202319_at	  0.0280	7.46e-01
202320_at	 -0.1678	4.63e-02
202321_at	  0.0605	7.45e-01
202322_s_at	 -0.4878	1.25e-02
202323_s_at	 -0.3082	5.49e-02
202325_s_at	 -0.2705	2.58e-01
202330_s_at	 -0.1057	6.39e-01
202331_at	 -0.3672	8.52e-03
202332_at	 -0.6578	5.02e-03
202335_s_at	 -0.1005	1.68e-01
202338_at	  0.2860	2.37e-01
202341_s_at	  0.3058	2.26e-01
202342_s_at	  0.1807	1.46e-01
202347_s_at	 -0.2105	2.56e-01
202349_at	 -0.3448	2.38e-03
202351_at	  0.1077	5.47e-01
202354_s_at	  0.4119	1.56e-01
202355_s_at	  0.2900	2.43e-01
202356_s_at	  0.3009	1.00e-01
202357_s_at	  0.3168	6.93e-02
202358_s_at	  0.0368	6.99e-01
202359_s_at	  0.0079	9.31e-01
202361_at	  0.5038	7.24e-02
202363_at	  0.2711	1.82e-01
202364_at	  0.1264	5.21e-01
202366_at	  0.4213	8.49e-03
202368_s_at	 -0.0808	6.03e-01
202373_s_at	 -0.0500	4.88e-01
202374_s_at	  0.2367	1.17e-01
202376_at	  0.4446	5.18e-02
202378_s_at	  0.5822	1.52e-02
202379_s_at	  0.3101	1.58e-01
202385_s_at	 -0.5574	6.80e-02
202386_s_at	  0.7151	7.06e-02
202388_at	  0.3513	1.30e-01
202396_at	 -0.4808	2.08e-01
202400_s_at	  0.0790	2.18e-01
202402_s_at	 -0.2864	1.95e-01
202403_s_at	  0.1378	4.80e-01
202404_s_at	  0.1431	1.66e-01
202405_at	 -0.0025	9.88e-01
202407_s_at	 -0.5447	5.70e-02
202408_s_at	 -0.6903	1.77e-02
202409_at	  0.2704	3.07e-01
202411_at	  0.3657	1.19e-01
202414_at	 -0.2377	2.05e-01
202419_at	 -0.0569	4.77e-01
202422_s_at	 -1.1070	3.18e-02
202424_at	  1.0003	9.36e-03
202425_x_at	  0.2499	1.86e-02
202430_s_at	 -0.2732	1.76e-02
202432_at	  1.2138	1.31e-02
202434_s_at	  0.0000	1.00e+00
202435_s_at	  0.1052	7.92e-02
202436_s_at	  0.4722	1.28e-01
202437_s_at	 -0.2388	8.62e-02
202438_x_at	  0.1914	1.96e-01
202442_at	  0.4428	9.88e-02
202444_s_at	  0.0710	6.17e-01
202447_at	  0.0357	8.67e-01
202448_s_at	  0.4324	1.34e-02
202451_at	 -0.2515	4.57e-02
202452_at	  0.7033	4.13e-03
202456_s_at	  0.4175	7.10e-03
202457_s_at	 -0.2324	2.09e-01
202461_at	 -0.4103	3.39e-02
202462_s_at	 -0.4243	4.08e-02
202464_s_at	 -0.2708	7.88e-03
202465_at	  0.3654	9.08e-03
202472_at	  0.4870	2.56e-02
202474_s_at	 -0.0247	8.46e-01
202475_at	 -0.7449	2.83e-04
202476_s_at	  0.2081	2.50e-02
202479_s_at	  0.2512	1.65e-02
202482_x_at	  0.0025	9.81e-01
202483_s_at	 -0.7015	6.14e-05
202484_s_at	 -0.3463	2.29e-01
202487_s_at	 -0.0982	3.39e-01
202488_s_at	  0.4019	5.04e-02
202490_at	  0.0816	4.27e-01
202491_s_at	 -0.1064	6.58e-01
202495_at	  0.6771	6.96e-02
202496_at	 -0.2295	2.23e-01
202499_s_at	 -5.0934	2.92e-05
202500_at	  0.7341	2.88e-02
202502_at	 -0.0117	9.73e-01
202503_s_at	  0.2134	1.50e-01
202505_at	 -0.2066	1.32e-01
202506_at	 -0.1058	1.58e-01
202508_s_at	  0.3087	1.66e-01
202510_s_at	  0.2904	6.12e-02
202511_s_at	 -0.6670	1.35e-02
202512_s_at	 -0.3519	6.03e-02
202513_s_at	  0.1361	2.58e-01
202514_at	  0.1907	3.41e-01
202521_at	  0.4535	5.75e-02
202522_at	 -0.3135	1.06e-02
202523_s_at	  0.1310	1.46e-01
202527_s_at	  0.2861	1.25e-01
202531_at	  0.3057	6.05e-03
202534_x_at	  1.0447	1.75e-02
202537_s_at	  0.0301	8.38e-01
202540_s_at	 -1.5314	2.53e-03
202541_at	 -0.7750	1.08e-02
202542_s_at	 -0.1025	5.49e-01
202544_at	 -0.1886	1.02e-01
202547_s_at	  0.0596	7.33e-01
202548_s_at	  0.1622	1.85e-01
202549_at	  0.1241	1.52e-01
202551_s_at	  0.1361	1.63e-01
202552_s_at	  0.0001	9.98e-01
202553_s_at	  0.1613	3.34e-01
202554_s_at	  0.5558	3.57e-03
202555_s_at	  0.4125	4.61e-02
202557_at	 -0.6442	1.18e-02
202563_at	  0.0758	1.31e-01
202566_s_at	  0.1668	3.97e-01
202568_s_at	  0.5398	1.72e-02
202569_s_at	  0.7915	9.25e-02
202571_s_at	  0.1974	1.35e-01
202573_at	 -0.2799	1.09e-01
202574_s_at	 -0.1418	9.75e-02
202575_at	  0.2643	2.92e-02
202579_x_at	 -0.7503	9.38e-04
202580_x_at	 -0.0704	4.95e-01
202581_at	 -0.1244	3.98e-01
202582_s_at	 -0.7951	9.12e-02
202583_s_at	 -0.6567	6.88e-02
202584_at	 -0.3604	7.08e-02
202585_s_at	  0.1167	2.08e-01
202586_at	  0.0804	3.62e-01
202587_s_at	  1.5961	4.59e-03
202588_at	  0.4394	4.99e-02
202590_s_at	  0.4409	3.77e-03
202594_at	 -0.7422	1.53e-02
202596_at	 -0.1122	2.01e-01
202597_at	  0.5214	9.59e-02
202598_at	 -0.0087	9.26e-01
202602_s_at	 -0.0678	8.38e-01
202603_at	 -0.4031	2.57e-01
202604_x_at	 -0.0397	6.52e-01
202612_s_at	  0.1031	4.37e-01
202614_at	  0.7692	5.46e-02
202617_s_at	  0.4607	5.58e-02
202620_s_at	  0.1406	2.97e-01
202621_at	 -0.5962	2.43e-02
202622_s_at	 -0.0315	3.02e-01
202623_at	  0.0338	8.63e-01
202626_s_at	 -1.4676	2.99e-03
202627_s_at	 -0.0173	8.95e-01
202630_at	  0.0827	1.64e-01
202631_s_at	 -0.1354	1.41e-01
202632_at	  0.0294	6.62e-01
202633_at	 -0.3902	1.88e-01
202635_s_at	 -0.3751	2.72e-01
202637_s_at	 -0.5636	1.03e-02
202638_s_at	 -1.0531	3.27e-03
202639_s_at	  0.0445	6.74e-01
202641_at	 -0.2607	1.09e-01
202644_s_at	  0.2424	4.45e-02
202647_s_at	  0.1626	4.45e-01
202648_at	 -0.1541	4.33e-01
202649_x_at	  0.0568	3.41e-01
202652_at	  0.3688	4.50e-02
202654_x_at	 -0.0856	5.92e-01
202657_s_at	  0.5359	4.40e-02
202658_at	 -0.3338	1.56e-01
202660_at	  0.1768	1.07e-01
202662_s_at	  0.1081	3.83e-01
202664_at	  0.4713	7.04e-02
202666_s_at	 -0.6319	5.45e-02
202668_at	  0.0611	4.71e-01
202671_s_at	 -0.0017	9.87e-01
202672_s_at	 -1.4860	2.18e-04
202673_at	 -0.3957	2.90e-01
202676_x_at	  0.4491	4.51e-03
202679_at	 -0.4453	1.01e-01
202680_at	 -0.6865	1.17e-02
202685_s_at	  0.1297	2.27e-01
202688_at	 -0.0114	8.64e-01
202689_at	 -0.0485	3.96e-01
202692_s_at	  0.5430	2.10e-02
202694_at	  0.0876	1.92e-01
202695_s_at	  0.0205	7.30e-01
202696_at	 -0.2386	2.58e-01
202697_at	 -0.2274	1.93e-01
202698_x_at	  0.0230	5.79e-01
202699_s_at	  0.6408	4.11e-03
202703_at	 -0.3899	1.38e-02
202704_at	 -0.4160	5.70e-02
202706_s_at	 -0.6534	5.85e-03
202707_at	 -0.0052	9.41e-01
202709_at	  0.3271	2.86e-02
202710_at	 -0.5322	1.86e-03
202715_at	 -0.2578	2.32e-02
202716_at	 -0.5210	7.02e-05
202727_s_at	 -0.2442	9.53e-02
202729_s_at	  0.7366	3.97e-03
202730_s_at	  0.2625	4.90e-02
202731_at	  0.6993	7.26e-02
202734_at	 -0.1634	3.53e-02
202735_at	 -0.4936	2.73e-04
202736_s_at	 -0.6628	2.78e-03
202737_s_at	 -0.7296	4.19e-02
202738_s_at	  0.3031	1.61e-01
202739_s_at	  0.2413	3.93e-01
202740_at	  0.2597	9.19e-03
202744_at	  0.1624	3.43e-01
202747_s_at	 -1.1996	1.93e-03
202748_at	  0.6805	6.67e-02
202750_s_at	 -0.1278	3.17e-01
202761_s_at	 -0.0154	8.59e-01
202762_at	  0.5714	1.07e-01
202763_at	 -0.0141	9.29e-01
202764_at	  0.4381	1.38e-02
202765_s_at	  0.0229	8.93e-01
202767_at	 -0.0414	6.38e-01
202768_at	  0.3340	9.57e-02
202769_at	 -0.5231	6.43e-02
202770_s_at	  0.0267	8.19e-01
202772_at	  0.6549	1.22e-03
202773_s_at	 -0.0710	5.85e-01
202774_s_at	  0.1005	1.52e-01
202775_s_at	  0.0798	5.37e-01
202776_at	 -0.8648	1.53e-03
202777_at	  0.0464	7.44e-01
202778_s_at	 -0.0649	6.96e-01
202784_s_at	  1.1546	4.06e-02
202789_at	  0.0468	4.96e-01
202790_at	  0.4461	1.44e-02
202791_s_at	  0.2965	2.29e-02
202792_s_at	  0.2311	3.29e-02
202799_at	 -0.5893	1.33e-03
202800_at	  0.1792	4.97e-02
202803_s_at	  0.6607	9.79e-02
202804_at	  0.1941	2.15e-01
202806_at	 -0.1154	2.41e-01
202808_at	  0.3244	2.69e-02
202809_s_at	  0.1491	2.40e-02
202810_at	 -0.3191	4.78e-02
202811_at	 -0.0765	4.79e-01
202819_s_at	 -0.5085	1.47e-03
202820_at	  0.1281	2.52e-01
202822_at	  0.4882	1.51e-02
202823_at	 -0.2164	4.25e-02
202824_s_at	 -0.7553	2.20e-02
202827_s_at	  0.3325	4.76e-02
202828_s_at	  0.2064	8.79e-02
202829_s_at	  0.1818	5.50e-01
202832_at	 -0.0418	8.07e-01
202833_s_at	  0.2651	1.35e-01
202834_at	  0.2466	1.65e-01
202835_at	  0.4574	4.87e-02
202839_s_at	  0.4318	1.14e-01
202840_at	 -0.3067	1.73e-02
202841_x_at	  0.0633	6.17e-01
202844_s_at	  0.4288	7.95e-02
202845_s_at	  0.4841	1.40e-01
202850_at	 -0.4220	1.70e-01
202852_s_at	 -0.3300	3.54e-02
202853_s_at	  0.1139	2.34e-01
202854_at	  0.1965	4.37e-01
202855_s_at	 -0.1347	2.11e-01
202859_x_at	 -2.4931	2.93e-03
202860_at	 -0.1314	4.07e-01
202861_at	 -0.0993	5.55e-01
202862_at	 -0.4581	1.26e-01
202863_at	  0.4314	1.21e-01
202864_s_at	  0.0915	3.41e-01
202868_s_at	 -0.1097	6.59e-01
202869_at	  0.1070	6.62e-01
202874_s_at	 -0.0642	7.42e-01
202875_s_at	  0.2679	7.83e-03
202881_x_at	  0.3621	5.90e-02
202882_x_at	 -0.9251	1.54e-02
202883_s_at	  0.2958	2.99e-01
202884_s_at	  0.0409	8.21e-01
202887_s_at	 -1.6828	7.08e-03
202888_s_at	  0.0461	7.24e-01
202891_at	  0.1183	9.56e-02
202896_s_at	  0.1270	5.23e-03
202897_at	  0.3473	1.34e-01
202898_at	 -0.0982	1.33e-01
202899_s_at	 -0.6366	3.41e-02
2028_s_at	  0.3047	4.21e-02
202900_s_at	 -0.5891	1.55e-01
202902_s_at	  0.1497	3.03e-01
202904_s_at	 -0.0011	9.96e-01
202905_x_at	  0.0725	3.29e-01
202906_s_at	  0.2042	1.04e-01
202909_at	  0.7440	1.92e-02
202910_s_at	 -0.3039	2.35e-02
202911_at	  0.0965	5.96e-01
202913_at	  0.1492	2.01e-01
202914_s_at	  0.0775	6.99e-01
202915_s_at	  0.2427	2.25e-01
202917_s_at	  0.3442	1.46e-01
202919_at	 -0.0847	1.77e-01
202920_at	  0.0752	6.35e-01
202922_at	  0.3865	9.24e-03
202923_s_at	  0.4853	1.12e-01
202925_s_at	  0.2748	9.46e-02
202927_at	 -0.1837	3.60e-01
202928_s_at	  0.1445	5.57e-03
202930_s_at	 -0.4149	2.77e-01
202931_x_at	  0.2499	1.57e-01
202933_s_at	 -1.5322	1.42e-02
202934_at	 -1.5647	2.25e-04
202936_s_at	  0.4230	5.92e-02
202939_at	 -1.2872	7.78e-03
202943_s_at	 -0.3671	5.43e-02
202945_at	  0.1107	1.15e-01
202946_s_at	 -0.3086	9.17e-02
202947_s_at	  1.0665	4.01e-05
202949_s_at	  0.0642	4.81e-01
202954_at	  0.0772	5.08e-01
202959_at	  0.3004	1.30e-01
202960_s_at	 -0.0089	9.37e-01
202962_at	 -0.0528	3.82e-01
202963_at	 -0.7515	3.99e-03
202965_s_at	  0.1543	3.58e-01
202974_at	  0.5064	1.47e-02
202975_s_at	  0.2498	1.81e-01
202976_s_at	  0.5896	1.32e-01
202980_s_at	 -0.0040	9.63e-01
202981_x_at	  0.1869	3.76e-01
202982_s_at	  0.1462	2.34e-01
202987_at	  0.1019	3.07e-01
202988_s_at	 -0.1746	5.68e-02
202990_at	 -0.2218	1.43e-02
202995_s_at	 -0.0169	9.32e-01
202996_at	  0.1823	2.93e-02
202997_s_at	  0.2384	2.13e-01
202998_s_at	  0.2102	1.22e-01
202999_s_at	  0.1487	1.84e-01
203000_at	  0.4321	7.68e-02
203001_s_at	  0.2267	6.00e-02
203002_at	  0.2471	2.38e-01
203005_at	 -0.2782	3.00e-02
203006_at	 -0.0834	3.54e-01
203007_x_at	 -1.1940	1.76e-02
203008_x_at	 -0.4299	1.32e-01
203010_at	 -0.4230	1.51e-02
203012_x_at	 -0.0391	5.15e-01
203013_at	 -0.5276	2.28e-02
203014_x_at	  0.1968	2.15e-01
203018_s_at	  0.4895	1.47e-02
203019_x_at	  0.7575	1.80e-02
203020_at	  0.7596	6.32e-02
203021_at	  0.3817	1.05e-01
203023_at	 -1.1642	1.40e-02
203028_s_at	 -0.0262	8.32e-01
203029_s_at	  0.0541	5.10e-01
203030_s_at	  0.1422	5.33e-01
203033_x_at	 -0.3326	1.00e-02
203034_s_at	  0.0740	3.13e-01
203035_s_at	 -0.0544	7.38e-01
203040_s_at	  2.5236	3.13e-04
203041_s_at	  0.7054	2.41e-02
203044_at	  1.0693	3.86e-02
203046_s_at	  0.4405	4.99e-02
203047_at	  0.6411	1.16e-02
203049_s_at	  0.5436	1.48e-01
203050_at	 -0.4965	2.60e-03
203052_at	  0.2675	9.75e-02
203053_at	 -0.6086	1.01e-01
203054_s_at	  0.2385	5.57e-02
203055_s_at	 -0.1834	1.69e-01
203056_s_at	  0.0778	3.63e-01
203057_s_at	 -0.1455	1.12e-01
203059_s_at	  0.4881	5.78e-02
203060_s_at	  0.0912	3.76e-01
203061_s_at	 -0.1800	6.47e-02
203063_at	  0.4963	1.09e-03
203065_s_at	  0.2169	3.05e-02
203066_at	  0.2281	7.30e-02
203068_at	  0.5244	2.93e-02
203069_at	  0.2417	7.83e-02
203071_at	  0.2656	2.13e-02
203074_at	  0.6176	5.64e-02
203075_at	  0.1540	3.86e-02
203077_s_at	 -0.0015	9.91e-01
203078_at	 -0.1065	3.82e-01
203080_s_at	  0.3431	2.35e-01
203081_at	  0.1878	2.30e-01
203089_s_at	  0.8233	2.43e-02
203090_at	  0.0644	3.79e-01
203093_s_at	 -0.2845	1.50e-01
203094_at	 -0.0557	4.82e-01
203096_s_at	  0.2794	1.59e-03
203097_s_at	  0.6335	1.01e-01
203099_s_at	  0.1035	1.56e-01
203100_s_at	  0.3411	3.83e-02
203101_s_at	 -0.0459	5.58e-01
203105_s_at	 -0.6173	5.05e-02
203107_x_at	 -0.0654	1.05e-01
203110_at	 -0.0775	2.95e-01
203111_s_at	  0.1711	1.60e-01
203115_at	  2.6378	1.12e-03
203117_s_at	  0.3731	3.53e-02
203118_at	 -0.0150	8.01e-01
203119_at	 -1.3639	5.66e-04
203122_at	  0.6150	2.03e-02
203123_s_at	  1.0293	8.33e-03
203124_s_at	  1.1231	7.33e-04
203125_x_at	  0.0721	3.82e-01
203132_at	 -0.0019	9.93e-01
203133_at	 -0.2542	7.88e-02
203134_at	  0.2199	5.31e-02
203135_at	 -0.2980	7.01e-02
203136_at	  0.2935	8.16e-02
203140_at	 -0.2861	2.86e-02
203141_s_at	  0.0751	4.47e-01
203144_s_at	  0.2387	2.80e-01
203146_s_at	 -0.0531	5.69e-01
203148_s_at	 -0.1007	7.51e-01
203149_at	 -0.2751	1.69e-01
203150_at	 -0.4801	1.81e-03
203151_at	  0.2294	3.88e-02
203154_s_at	  0.4122	3.73e-02
203155_at	  0.0716	6.99e-01
203157_s_at	  0.2187	1.17e-01
203158_s_at	 -0.1500	3.05e-01
203161_s_at	  0.3340	5.84e-02
203163_at	 -0.8628	3.72e-02
203164_at	  0.5446	8.66e-02
203169_at	  0.1945	9.74e-02
203172_at	  0.0461	6.25e-01
203173_s_at	  0.6279	2.31e-02
203174_s_at	  0.2103	5.72e-02
203178_at	  0.1368	2.01e-01
203179_at	  0.2711	1.55e-01
203180_at	 -0.1521	3.72e-01
203181_x_at	  0.1716	7.48e-02
203183_s_at	 -0.0416	9.04e-02
203184_at	  0.0102	9.17e-01
203186_s_at	  1.3472	2.48e-03
203187_at	  0.4044	1.90e-01
203189_s_at	  0.1013	7.33e-01
203194_s_at	 -0.2263	4.09e-01
203195_s_at	 -0.4256	3.57e-02
203198_at	  0.0854	5.53e-01
203199_s_at	 -0.3554	5.26e-02
203202_at	 -0.1233	5.13e-01
203205_at	 -0.0832	3.13e-01
203207_s_at	 -0.2441	9.52e-02
203208_s_at	 -0.0181	8.15e-01
203210_s_at	  0.0681	5.29e-01
203211_s_at	 -0.2245	2.88e-01
203214_x_at	 -0.6815	1.13e-02
203216_s_at	  0.5687	5.10e-02
203219_s_at	 -0.4048	1.48e-02
203220_s_at	  0.3253	1.35e-01
203222_s_at	  0.3564	6.31e-02
203225_s_at	  0.3498	8.67e-02
203227_s_at	  0.0087	9.42e-01
203230_at	 -0.2758	2.43e-02
203231_s_at	  0.0403	7.54e-01
203232_s_at	  0.1205	1.59e-01
203236_s_at	  0.1799	6.34e-02
203240_at	  0.0640	6.76e-01
203241_at	  0.2907	2.50e-01
203242_s_at	 -0.0789	6.40e-01
203244_at	  0.0402	2.45e-01
203248_at	  0.2953	1.07e-01
203250_at	 -0.2443	4.78e-01
203255_at	 -0.1982	3.12e-01
203259_s_at	 -0.0970	4.77e-01
203261_at	  0.0619	7.20e-01
203262_s_at	  0.6247	1.61e-02
203263_s_at	  0.1871	1.16e-01
203266_s_at	 -0.0403	4.02e-01
203267_s_at	 -0.0787	3.18e-01
203268_s_at	  0.0056	9.43e-01
203273_s_at	  0.3009	7.67e-02
203274_at	  0.3719	1.12e-01
203276_at	 -0.6815	2.60e-02
203278_s_at	 -0.1569	9.99e-02
203279_at	 -0.5630	1.25e-03
203280_at	 -0.0989	3.82e-01
203283_s_at	  0.4134	4.08e-02
203284_s_at	  0.6450	5.17e-02
203285_s_at	  0.9734	6.09e-02
203287_at	  0.4049	1.18e-01
203288_at	  0.0702	7.13e-01
